,input,output,original
0,hefoundaleprechauninhiswalnutshell,"['he', 'found', 'a', 'leprechaun', 'in', 'his', 'walnut', 'shell']",he found a leprechaun in his walnut shell
1,shetiltedherheadbackandletwhipcreamstreamintohermouthwhiletakingabath,"['she', 'tilted', 'her', 'head', 'back', 'and', 'let', 'whip', 'cream', 'stream', 'into', 'her', 'mouth', 'while', 'taking', 'a', 'bath']",she tilted her head back and let whip cream stream into her mouth while taking a bath
2,hefoundhisartneverprogressedwhenheliterallyusedhissweatandtears,"['he', 'found', 'his', 'art', 'never', 'progressed', 'when', 'he', 'literally', 'used', 'his', 'sweat', 'and', 'tears']",he found his art never progressed when he literally used his sweat and tears
3,theurgentcarecenterwasfloodedwithpatientsafterthenewsofanewdeadlyviruswasmadepublic,"['the', 'urgent', 'care', 'center', 'was', 'flooded', 'with', 'patients', 'after', 'the', 'news', 'of', 'a', 'new', 'deadly', 'virus', 'was', 'made', 'public']",the urgent care center was flooded with patients after the news of a new deadly virus was made public
4,hehadreachedthepointwherehewasparanoidaboutbeingparanoid,"['he', 'had', 'reached', 'the', 'point', 'where', 'he', 'was', 'paranoid', 'about', 'being', 'paranoid']",he had reached the point where he was paranoid about being paranoid
5,ioftenseethetimeoronclocks,"['i', 'often', 'see', 'the', 'time', 'or', 'on', 'clocks']",i often see the time  or  on clocks
6,warmbeeronacolddayisntmyideaoffun,"['warm', 'beer', 'on', 'a', 'cold', 'day', 'isnt', 'my', 'idea', 'of', 'fun']",warm beer on a cold day isnt my idea of fun
7,nowineedtopondermyexistenceandaskmyselfifimtrulyreal,"['now', 'i', 'need', 'to', 'ponder', 'my', 'existence', 'and', 'ask', 'myself', 'if', 'im', 'truly', 'real']",now i need to ponder my existence and ask myself if im truly real
8,hebarkedordersathisdaughtersbuttheyjuststaredbackwithamusement,"['he', 'barked', 'orders', 'at', 'his', 'daughters', 'but', 'they', 'just', 'stared', 'back', 'with', 'amusement']",he barked orders at his daughters but they just stared back with amusement
9,thewaveswerecrashingontheshoreitwasalovelysight,"['the', 'waves', 'were', 'crashing', 'on', 'the', 'shore', 'it', 'was', 'a', 'lovely', 'sight']",the waves were crashing on the shore it was a lovely sight
